id.deidentified,Age,Gender,Race,Multi.racial,Class,Income,SSID1,SSID2,SSID3r,SSID4,SSID5,SSID6r,Eff1,Eff2,Eff3,Eff4,Eff5,USldr
580,18,1,7,,1,9,1,1,2,1,6,3,7,7,6,3,5,10
581,19,2,7,,1,6,,,,,,,,,,,,
586,18,2,7,,1,6,,,,,,,,,,,,
587,18,2,,,1,,3,5,3,5,5,3,4,4,6,6,6,7.5
589,18,1,7,,1,6,2,3,7,3,2,6,2,5,5,5,6,9.5
590,18,1,7,,1,5,2,3,3,3,5,3,7,7,7,7,7,10
591,18,1,7,,1,8,3,2,6,2,2,5,6,6,6,5,7,8
592,20,1,7,,2,5,2,2,5,3,3,6,6,6,6,3,5,8
593,18,1,7,,1,9,,,,,,,,,,,,
594,21,1,7,,4,9,1,1,5,1,1,5,7,7,7,7,7,10
595,21,2,7,,4,4,2,3,3,5,3,5,5,6,6,5,6,7.5
596,20,1,7,,2,,,,,,,,,,,,,
597,18,1,7,,1,5,4,2,5,5,2,6,7,4,3,2,6,8
598,18,2,,,1,,2,6,6,3,2,6,6,6,6,6,6,
599,19,2,7,,1,9,1,5,6,2,2,6,1,1,3,5,2,9.5
600,18,1,7,,1,8,3,3,5,4,2,4,5,5,5,5,5,9
601,21,2,7,,3,8,2,2,6,2,2,6,7,6,6,7,7,8.5
602,18,1,4,,2,3,,,,,,,,,,,,
603,19,2,2,,1,8,,,,,,,,,,,,
604,19,2,7,,1,,3,3,6,4,3,4,2,2,4,6,5,8
605,18,2,2,,1,1,,,,,,,,,,,,
606,19,2,7,,1,,3,5,2,1,7,4,7,7,6,5,7,10
607,20,1,2,,3,3,2,4,3,5,4,3,6,5,5,4,5,7
608,20,1,7,,3,,2,2,6,2,2,6,6,6,6,6,6,
609,18,1,7,,1,6,2,2,5,3,4,4,5,5,5,4,5,9
610,19,1,2,,1,3,6,4,3,6,5,3,1,1,3,4,3,7
611,18,2,7,,1,6,7,2,2,5,1,1,5,5,5,5,5,7
612,19,2,7,,1,7,3,4,4,4,4,4,5,5,5,5,5,8.5
613,18,2,3,,1,2,,,,,,,,,,,,
614,18,1,7,,1,6,,,,,,,,,,,,
615,18,1,8,"asian,white",1,,,,,,,,,,,,,
616,18,1,8,"asian,white",1,,,,,,,,,,,,,
617,18,2,2,,1,7,,,,,,,,,,,,
618,18,1,7,,1,6,,,,,,,,,,,,
619,22,1,4,,4,7,,,,,,,,,,,,
620,18,2,7,,1,,,,,,,,,,,,,
621,19,1,7,,2,4,,,,,,,,,,,,
622,20,1,7,,2,8,,,,,,,,,,,,
623,19,2,4,,1,1,,,,,,,,,,,,
625,18,2,3,,1,,,,,,,,,,,,,
626,19,2,7,,1,,,,,,,,,,,,,
627,19,2,7,,1,,,,,,,,,,,,,
628,20,2,7,,2,9,,,,,,,,,,,,
630,18,2,7,,1,4,,,,,,,,,,,,8.5
631,19,2,2,,1,3,,,,,,,,,,,,
632,20,2,2,,2,,,,,,,,,,,,,
633,18,2,7,,1,9,,,,,,,,,,,,
634,19,2,7,,2,6,,,,,,,,,,,,
635,19,2,7,,2,9,,,,,,,,,,,,
636,19,2,7,,3,4,,,,,,,,,,,,
637,18,2,7,,1,5,,,,,,,,,,,,
638,18,2,7,,1,7,,,,,,,,,,,,
639,19,2,7,,1,4,,,,,,,,,,,,
640,20,1,2,,1,5,,,,,,,,,,,,
641,20,1,7,,2,5,6,5,5,6,7,6,5,5,6,7,5,10
642,21,1,4,,3,,,,,,,,,,,,,
643,19,1,7,,1,8,,,,,,,,,,,,
644,18,2,7,,1,9,,,,,,,,,,,,
645,18,2,7,,1,6,,,,,,,,,,,,
646,19,1,8,"latino,asian",1,6,,,,,,,,,,,,
647,19,1,7,,1,2,,,,,,,,,,,,
649,21,1,7,,3,9,,,,,,,,,,,,
650,19,1,7,,1,4,,,,,,,,,,,,
651,22,1,7,,6,8,,,,,,,,,,,,
652,18,1,2,,1,9,,,,,,,,,,,,
653,18,1,2,,1,5,4,4,,5,4,5,5,3,5,6,5,5.5
654,18,2,7,,1,4,,,,,,,,,,,,
655,18,1,7,,1,,,,,,,,,,,,,
656,19,1,2,,1,1,,,,,,,,,,,,
657,18,2,7,,1,3,,,,,,,,,,,,
658,18,1,3,,1,3,,,,,,,,,,,,
659,19,1,2,,1,8,2,2,6,2,2,6,6,6,7,7,7,10.5
660,18,2,2,,1,,,,,,,,,,,,,
661,18,1,7,,1,,,,,,,,,,,,,
662,18,1,8,"white,hispanic,korean",1,3,,,,,,,,,,,,
663,19,1,7,,2,7,,,,,,,,,,,,
664,18,2,7,,1,8,,,,,,,,,,,,
665,19,2,7,,1,,,,,,,,,,,,,
666,18,1,2,,1,5,,,,,,,,,,,,
667,19,1,8,,1,3,,,,,,,,,,,,
668,19,1,2,,2,7,,,,,,,,,,,,
669,19,1,8,anglo-slavic,3,4,,,,,,,,,,,,
670,20,1,7,,2,,,,,,,,,,,,,
671,20,1,7,,2,3,,,,,,,,,,,,
672,19,2,7,,1,,,,,,,,,,,,,
673,19,1,2,,1,7,,,,,,,,,,,,
674,18,1,7,,1,,,,,,,,,,,,,
675,18,1,2,,1,7,,,,,,,,,,,,
676,18,2,8,"african,latina, native american",1,1,,,,,,,,,,,,
677,18,2,7,,1,8,,,,,,,,,,,,
678,18,2,2,,1,8,,,,,,,,,,,,
679,18,2,3,,1,5,,,,,,,,,,,,
680,21,1,2,,3,6,,,,,,,,,,,,
682,19,1,2,,1,5,6,5,2,3,2,4,6,5,5,5,6,6.5
684,19,2,3,,1,6,,,,,,,,,,,,
685,18,2,7,,1,3,6,6,2,6,4,3,5,5,5,4,4,5.5
686,18,2,7,,1,5,,,,,,,,,,,,
687,18,2,2,,1,5,,,,,,,,,,,,
689,19,1,7,,1,9,,,,,,,,,,,,
690,20,2,7,,2,8,,,,,,,,,,,,
691,19,2,3,,1,6,,,,,,,,,,,,
692,18,2,2,,1,,,,,,,,,,,,,
693,18,1,7,,1,,,,,,,,,,,,,
694,18,1,7,,1,,2,2,4,2,2,4,7,6,6,4,7,10
695,18,2,2,,1,8,3,2,4,2,2,6,7,7,7,6,7,9
696,18,2,7,,1,5,4,4,2,4,4,4,3,5,5,4,5,7.5
697,21,1,2,,4,5,5,5,3,5,4,3,4,5,4,6,5,6.5
698,18,2,7,,1,5,4,6,4,2,6,7,7,6,5,7,7,10
699,18,1,3,,1,3,,,,,,,,,,,,
700,18,2,7,,1,8,,,,,,,,,,,,
701,19,1,,,1,3,,,,,,,,,,,,
702,21,1,7,,3,3,,,,,,,,,,,,
703,22,1,7,,4,6,,,,,,,,,,,,
704,18,2,7,,1,8,6,3,7,1,1,6,7,6,6,6,6,8
705,18,2,4,,1,3,,,,,,,,,,,,
706,19,1,7,,1,9,4,3,5,3,2,4,3,5,5,4,6,9.5
707,18,1,3,,1,4,5,6,3,6,6,2,7,6,7,3,7,5.5
708,20,1,7,,2,9,2,3,6,4,2,6,7,6,5,5,6,7.5
709,18,1,7,,1,7,5,3,4,3,3,4,5,6,6,3,4,8.5
710,20,2,7,,2,6,6,7,5,6,4,3,2,3,4,2,5,5
711,19,2,4,,1,9,1,1,6,1,1,7,,3,3,3,4,7
712,20,2,7,,4,6,,,,,,,,,,,,
713,21,2,7,,4,9,,,,,,,,,,,,
714,18,1,2,,1,9,,,,,,,,,,,,
715,19,2,7,,1,5,2,2,5,2,2,4,5,4,5,5,6,8
716,18,2,8,"white,asian",1,8,4,3,3,3,3,4,5,5,5,5,5,9
717,19,2,7,,1,9,2,4,5,1,1,5,2,2,6,6,7,10
718,18,1,7,,1,2,1,1,4,1,1,4,7,7,7,3,7,6.5
719,19,1,2,,1,9,4,6,5,3,4,3,7,5,5,5,7,7.5
720,18,2,7,,1,9,,,,,,,,,,,,
721,19,2,7,,1,7,,,,,,,,,,,,
722,20,2,2,,3,8,,,,,,,,,,,,
723,19,2,2,,1,5,,,,,,,,,,,,
724,20,2,2,,3,3,3,7,1,7,5,4,3,3,5,5,6,5.5
725,18,1,7,,1,3,3,3,3,5,5,4,4,4,5,4,5,7
726,20,2,8,"asian,white",2,5,,,,,,,,,,,,
727,18,1,2,,1,2,5,5,4,4,3,4,5,3,5,5,6,9.5
728,18,2,7,,1,,1,4,6,1,1,7,3,3,7,7,3,10
730,20,1,7,,2,8,,,,,,,,,,,,
731,19,1,7,,2,2,,,,,,,,,,,,
732,18,2,7,,1,,,,,,,,,,,,,
733,18,1,2,,1,8,2,4,5,4,3,3,5,6,5,2,4,8
734,19,2,7,,1,,4,5,4,3,4,5,4,4,5,5,5,7.5
735,18,1,8,"black,white",1,3,5,7,1,6,7,4,4,3,4,5,6,5
736,18,2,7,,1,9,2,1,5,4,2,5,2,3,5,5,6,8.5
737,19,2,7,,1,,,,,,,,,,,,,
739,20,1,7,,2,1,,,,,,,,,,,,
740,18,2,7,,1,6,1,2,5,5,3,6,3,5,4,3,5,9
741,20,1,2,,3,5,7,7,2,6,2,1,2,6,4,5,5,3
742,22,1,2,,2,8,4,4,5,3,3,5,5,4,4,4,5,6
743,18,1,7,,1,7,4,3,5,4,2,6,5,6,6,5,5,9.5
744,18,2,7,,1,9,3,1,6,1,3,6,5,5,6,6,6,8.5
745,18,2,7,,1,8,4,3,5,4,3,5,6,6,6,6,6,9.5
749,18,2,2,,1,1,6,6,2,6,6,4,4,3,3,3,3,3
,18,2,7,,1,9,,,,,,,,,,,,
