"id.deidentified","Age","Gender","Race","Multi.racial","Class","Income","US.ldr","Item1I","Use1I","Aware1I","Item2I","Use2I","Aware2I","Item3I","Use3I","Aware3I","Item4I","Use4I","Aware4I","OrderI_1_Group","OrderI_1_Rank","OrderI_2_Group","OrderI_2_Rank","OrderI_3_Group","OrderI_3_Rank","OrderI_4_Group","OrderI_4_Rank","Item1C","Use1C","Aware1C","Item2C","Use2C","Aware2C","Item3C","Use3C","Aware3C","Item4C","Use4C","Aware4C","OrderC_1_Group","OrderC_1_Rank","OrderC_2_Group","OrderC_2_Rank","OrderC_3_Group","OrderC_3_Rank","OrderC_4_Group","OrderC_4_Rank","eff1","eff2","eff3","eff4","eff5","gGPA","cGPA"
51,19,"2","2","",1,"1",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,1,3,2,1,3,2,3,1,0,1,1,1,2,1,6,5,6,6,3,"3.7","3.2"
52,19,"2","7","",1,"9",8,1,3,1,1,4,3,1,3,2,1,3,1,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,"3.6","3.85"
53,19,"1","2","",1,"5",8.5,1,2,1,1,2,3,1,1,3,1,1,2,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,5,"3.6","3.24"
54,18,"1","7","",1,"3",NA,1,3,2,1,4,3,1,3,2,1,3,2,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,6,6,"3.7","3.425"
55,18,"1","4","",1,"3",5,1,2,2,1,4,3,1,2,3,1,1,3,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,6,"3.3","3.23"
56,18,"2","7","",1,"1",4.5,1,2,1,1,3,2,1,4,1,1,3,1,3,1,2,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,3,"2.0",""
57,18,"2","2","",1,"4",8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,2,3,1,4,3,1,4,1,1,1,0,1,2,1,3,1,7,7,7,7,7,"3.3","3.6"
58,18,"1","7","",1,"6",8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,4,3,1,3,1,1,2,2,1,1,0,1,2,1,3,1,5,7,7,6,2,"3.65","3.56"
59,19,"1","7","",1,"3",5.6,1,2,2,1,3,3,1,3,3,1,3,2,1,1,0,1,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,5,7,6,"3.75","3.9"
60,20,"1","7","",2,"6",7,1,3,1,1,4,3,1,4,2,1,2,1,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,5,7,"3.75 (hopefully!)","3.51"
61,18,"2","2","",1,"3",6.5,1,2,2,1,4,2,1,2,1,1,4,1,0,1,1,1,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,3,3,5,"3.7","2.5"
62,19,"1","7","",1,"4",7.5,1,3,2,1,4,3,1,1,1,1,2,2,1,1,0,1,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,"3.7","3.7"
63,18,"2","7","",1,"7",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,3,3,1,4,2,1,3,2,3,1,0,1,1,1,2,1,3,3,3,6,6,"3.7","3.9"
64,19,"2","8","hispanic/caucasian",1,"5",8,1,3,2,1,4,3,1,3,2,1,3,2,2,1,0,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,5,"3.5","3.5"
65,19,"2","2","",1,"6",7,1,2,2,1,3,3,1,1,2,1,4,2,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,"3.2","2.33"
66,19,"1","7","",1,"4",6,1,3,2,1,4,3,1,1,3,1,3,1,2,1,0,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,5,3,"3.6","4.0"
67,18,"2","7","",1,".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,3,3,1,3,2,1,3,2,1,1,0,1,2,1,3,1,4,4,4,4,4,"3.4","3.45"
68,19,"1","4","",1,"4",7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,4,3,1,4,2,1,3,2,1,1,0,1,2,1,3,1,6,6,6,7,7,"3.8","3.6"
69,18,"2","7","",1,"4",4.5,1,3,2,1,4,3,1,4,2,1,4,1,2,1,0,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,5,5,"3.5","3.75"
70,19,"2","2","",1,".",NA,1,3,2,1,4,3,1,3,2,1,1,1,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,4,5,"3.9","3.85"
71,21,"1","2","",4,"4",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,2,3,1,4,1,1,3,2,1,1,0,1,2,1,3,1,6,7,7,7,7,"3.90","3.83"
72,19,"1","7","",1,"3",NA,1,1,2,1,4,3,1,3,3,1,3,2,2,1,0,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,3,4,"3.3","3.57"
73,19,"2","2","",2,"6",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,4,3,1,4,2,1,3,2,1,1,0,1,2,1,3,1,7,7,7,7,1,"3.5","2.9"
74,18,"1","4","",1,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,4,3,1,4,2,1,4,2,3,1,0,1,1,1,2,1,4,5,6,7,7,"3.6","3.4"
75,19,"2","7","",1,"",8,1,3,2,1,3,3,1,2,2,1,1,1,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,7,7,5,"3.7","4.0"
76,18,"2","7","",1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,3,3,1,4,2,1,2,2,0,1,2,1,1,1,3,1,6,6,7,5,7,"3.0","3.925"
