"id.deidentified","Age","Gender","Race","Multi.racial","Class","income","ladder","Item1I","Use1I","Aware1I","Item2I","Use2I","Aware2I","Item3I","Use3I","Aware3I","Item4I","Use4I","Aware4I","OrderI_1_Group","OrderI_1_Rank","OrderI_2_Group","OrderI_2_Rank","OrderI_3_Group","OrderI_3_Rank","OrderI_4_Group","OrderI_4_Rank","Item1C","Use1C","Aware1C","Item2C","Use2C","Aware2C","Item3C","Use3C","Aware3C","Item4C","Use4C","Aware4C","OrderC_1_Group","OrderC_1_Rank","OrderC_2_Group","OrderC_2_Rank","OrderC_3_Group","OrderC_3_Rank","OrderC_4_Group","OrderC_4_Rank","iat","cgpa"
14,19,2,"4","",1,6,7,1,3,2,1,3,3,1,4,3,1,3,2,3,1,0,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.219163998,"3.2"
15,18,2,"7","",1,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,1,4,3,1,1,3,1,2,2,1,1,0,1,3,1,2,1,0.82374103,"3.2?"
16,19,2,"3","",1,4,7,1,2,2,1,3,3,1,3,3,1,2,2,2,1,0,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.758677229,"2.95"
17,21,2,"7","",3,5,9,1,4,1,1,3,3,1,3,3,1,3,2,0,1,1,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.241747283,"3.85"
18,19,2,"7","",1,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,4,2,1,1,3,1,1,1,1,1,0,1,3,1,2,1,0.17692588,"3.7"
19,19,2,"7","",1,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,4,3,1,4,3,1,3,3,2,1,1,1,0,1,3,1,0.61981345,"3.83"
20,18,2,"7","",1,7,7,1,3,2,1,3,3,1,3,2,1,2,2,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.171996978,"3.8"
21,19,2,"2","",1,2,7,1,3,2,1,4,3,1,4,3,1,4,2,3,1,0,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.585512882,"3.7"
22,18,2,"8","Spanish, Filipino, Belgian",1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,4,3,1,2,2,1,2,1,1,1,0,1,2,1,3,1,0.653749315,"4"
23,18,2,"8","Korean-Italian",1,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,3,3,1,3,3,1,3,2,1,1,0,1,3,1,2,1,0.599030777,"3.875"
24,19,2,"7","",1,8,9,1,3,2,1,3,3,1,4,2,1,3,1,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.393531975,"3.88"
25,19,2,"3","",1,3,4,1,4,2,1,4,3,1,4,3,1,4,2,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.432290978,"2.817"
26,21,1,"7","",3,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,4,3,1,2,2,1,2,2,1,1,0,1,2,1,3,1,0.623388549,"3.45"
27,18,2,"2","",1,1,4,1,3,2,1,4,3,1,4,3,1,4,3,0,1,1,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.133936695,"3.55"
28,18,2,"7","",1,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,3,3,1,4,3,1,3,2,2,1,0,1,1,1,3,1,0.647713616,"3.6"
29,19,2,"2","",2,8,9,1,1,2,1,3,3,1,2,2,1,2,2,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.645296342,"3"
30,18,1,"7","",1,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,1,3,3,1,2,3,1,4,2,1,1,0,1,2,1,3,1,0.918201457,"3.83"
31,24,2,"4","",4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,4,3,1,2,1,1,1,1,1,1,0,1,2,1,3,1,0.408272519,"2.7"
32,19,2,"7","",2,8,9,1,3,2,1,3,3,1,4,2,1,3,2,3,1,2,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.886059003,"3.5"
33,19,2,"7","",2,3,8,1,3,2,1,3,3,1,3,2,1,3,3,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39143984,"3.499"
34,19,2,"7","",1,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,2,2,1,2,1,1,1,1,1,1,0,1,2,1,3,1,0.525259203,"3.3"
